image_id,year,month,day,final_date,split,source_file
000001,2027,06,26,2027-06-26,tuning,000001.jpg
000002,2025,12,11,2025-12-11,tuning,000002.jpg
000003,2026,05,12,2026-05-12,tuning,000003.jpg
000008,2027,06,29,2027-06-29,tuning,000008.jpg
000014,2026,01,31,2026-01-31,tuning,000014.jpg
000015,2026,03,01,2026-03-01,holdout2,000015.jpg
000020,2025,10,09,2025-10-09,tuning,000020.jpg
000021,2025,10,10,2025-10-10,holdout1,000021.jpg
000022,2025,10,14,2025-10-14,holdout2,000022.jpg
000023,2025,10,10,2025-10-10,holdout1,000023.jpg
000040,2025,10,11,2025-10-11,tuning,000040.jpg
000041,2025,10,11,2025-10-11,holdout2,000041.jpg
000047,2027,04,14,2027-04-14,tuning,000047.png
000052,2025,11,19,2025-11-19,tuning,000052.png
000053,2025,12,20,2025-12-20,holdout2,000053.jpg
000055,2026,08,04,2026-08-04,holdout2,000055.jpg
000058,2027,03,27,2027-03-27,holdout2,000058.jpg
000059,2027,06,22,2027-06-22,tuning,000059.jpg
000064,2026,08,03,2026-08-03,holdout2,000064.jpg
000067,2025,12,19,2025-12-19,tuning,000067.jpg
000070,2026,10,08,2026-10-08,holdout2,000070.jpg
000072,2026,04,25,2026-04-25,tuning,000072.jpg
000073,2026,03,12,2026-03-12,tuning,000073.jpg
000077,2026,03,07,2026-03-07,tuning,000077.jpg
000081,2026,05,18,2026-05-18,tuning,000081.jpg
000083,2026,07,01,2026-07-01,tuning,000083.jpg
000085,2026,03,30,2026-03-30,holdout2,000085.jpg
000088,2026,09,03,2026-09-03,holdout1,000088.jpg
000094,2027,06,30,2027-06-30,tuning,000094.jpg
000096,2026,05,26,2026-05-26,tuning,000096.jpg
000100,2026,02,11,2026-02-11,holdout2,000100.jpg
000105,2025,11,09,2025-11-09,tuning,000105.jpg
000107,2025,12,25,2025-12-25,tuning,000107.jpg
000111,2025,10,25,2025-10-25,holdout2,000111.jpg
000140,2026,07,14,2026-07-14,holdout2,000140.jpg
000141,2026,09,17,2026-09-17,tuning,000141.jpg
000149,2026,04,28,2026-04-28,holdout2,000149.jpg
000154,2027,08,13,2027-08-13,holdout2,000154.jpg
000158,2028,07,20,2028-07-20,holdout2,000158.jpg
000161,2027,05,10,2027-05-10,holdout2,000161.jpg
000175,2026,06,28,2026-06-28,tuning,000175.jpg
000177,2026,08,18,2026-08-18,holdout2,000177.jpg
000179,2026,06,29,2026-06-29,tuning,000179.jpg
000183,2027,07,28,2027-07-28,holdout2,000183.jpg
000186,2028,04,14,2028-04-14,holdout2,000186.jpg
000196,2027,02,27,2027-02-27,tuning,000196.jpg
000199,2027,09,07,2027-09-07,tuning,000199.jpg
000209,2027,06,11,2027-06-11,holdout2,000209.jpg
000211,2026,02,12,2026-02-12,holdout2,000211.jpg
000212,2026,12,16,2026-12-16,holdout2,000212.jpg
000225,2026,04,06,2026-04-06,tuning,000225.jpg
000231,2023,05,27,2023-05-27,holdout2,000231.jpg
000235,2026,03,08,2026-03-08,holdout2,000235.jpg
000239,2026,07,10,2026-07-10,holdout2,000239.jpg
000242,2026,05,21,2026-05-21,tuning,000242.jpg
000244,2026,06,21,2026-06-21,holdout2,000244.jpg
000249,2026,02,16,2026-02-16,holdout2,000249.jpg
000251,2026,02,24,2026-02-24,tuning,000251.jpg
000258,2026,05,30,2026-05-30,holdout1,000258.jpg
000266,2025,12,04,2025-12-04,holdout1,000266.jpg
000270,2026,09,03,2026-09-03,tuning,000270.jpg
000273,2026,03,13,2026-03-13,holdout2,000273.jpg
000275,2026,04,23,2026-04-23,tuning,000275.jpg
000276,2026,03,25,2026-03-25,holdout2,000276.jpg
000279,2026,06,02,2026-06-02,tuning,000279.jpg
000283,2027,09,17,2027-09-17,tuning,000283.jpg
000293,2025,10,24,2025-10-24,holdout2,000293.jpg
000315,2026,07,19,2026-07-19,holdout2,000315.jpg
000317,2025,11,15,2025-11-15,tuning,000317.jpg
000319,2026,02,14,2026-02-14,tuning,000319.jpg
000321,2025,10,29,2025-10-29,holdout2,000321.jpg
000329,2025,12,25,2025-12-25,tuning,000329.jpg
000357,2027,08,11,2027-08-11,tuning,000357.jpg
000358,2027,09,16,2027-09-16,holdout2,000358.jpg
000360,2026,02,19,2026-02-19,holdout2,000360.jpg
000362,2026,08,11,2026-08-11,holdout2,000362.jpg
000369,2027,06,25,2027-06-25,tuning,000369.jpg
000383,2026,04,03,2026-04-03,tuning,000383.jpg
000385,2026,09,14,2026-09-14,tuning,000385.jpg
000394,2026,04,14,2026-04-14,tuning,000394.jpg
000400,2026,01,11,2026-01-11,holdout2,000400.jpg
000408,2025,10,09,2025-10-09,holdout2,000408.jpg
000417,2026,03,15,2026-03-15,holdout2,000417.jpg
000429,2026,01,04,2026-01-04,tuning,000429.jpg
000436,2026,02,12,2026-02-12,tuning,000436.jpg
000443,2026,04,06,2026-04-06,tuning,000443.jpg
000450,2026,03,11,2026-03-11,holdout2,000450.jpg
000451,2026,02,27,2026-02-27,tuning,000451.jpg
000452,2026,03,25,2026-03-25,tuning,000452.jpg
000455,2026,02,10,2026-02-10,holdout2,000455.jpg
000456,2025,12,26,2025-12-26,tuning,000456.jpg
000462,2027,05,27,2027-05-27,tuning,000462.jpg
000474,2026,06,26,2026-06-26,holdout1,000474.jpg
000481,2026,03,09,2026-03-09,holdout1,000481.jpg
000483,2027,04,15,2027-04-15,tuning,000483.jpg
000493,2026,06,17,2026-06-17,holdout2,000493.jpg
000498,2026,03,07,2026-03-07,holdout2,000498.jpg
000509,2026,09,01,2026-09-01,tuning,000509.jpg
000517,2026,09,25,2026-09-25,holdout2,000517.jpg
000529,2026,01,12,2026-01-12,holdout2,000529.jpg
000539,2027,08,11,2027-08-11,holdout2,000539.jpg
000550,2026,05,29,2026-05-29,tuning,000550.jpg
000555,2027,04,16,2027-04-16,tuning,000555.jpg
000562,2025,12,30,2025-12-30,holdout2,000562.jpg
000569,2025,11,02,2025-11-02,tuning,000569.jpg
000603,2026,09,24,2026-09-24,holdout1,000603.jpg
000605,2028,07,01,2028-07-01,tuning,000605.jpg
000611,2026,07,20,2026-07-20,tuning,000611.jpg
000616,2026,09,10,2026-09-10,holdout1,000616.jpg
000618,2026,08,26,2026-08-26,tuning,000618.jpg
000623,2027,03,10,2027-03-10,holdout1,000623.jpg
000638,2026,06,16,2026-06-16,tuning,000638.jpg
000647,2026,08,19,2026-08-19,tuning,000647.jpg
000662,2026,03,11,2026-03-11,holdout2,000662.jpg
000675,2028,06,03,2028-06-03,holdout1,000675.jpg
000677,2027,08,17,2027-08-17,tuning,000677.jpg
000707,2026,08,19,2026-08-19,holdout2,000707.jpg
000715,2026,06,26,2026-06-26,holdout1,000715.jpg
000719,2026,04,04,2026-04-04,tuning,000719.jpg
000744,2027,08,18,2027-08-18,holdout2,000744.jpg
000767,2026,02,12,2026-02-12,holdout2,000767.jpg
000771,2019,11,26,2019-11-26,holdout2,000771.jpg
000772,NONE,12,20,NONE-12-20,holdout2,000772.jpg
000775,2025,12,17,2025-12-17,tuning,000775.jpg
000778,2026,06,22,2026-06-22,holdout1,000778.jpg
000780,2026,04,27,2026-04-27,tuning,000780.jpg
000792,2026,04,05,2026-04-05,holdout2,000792.jpg
000801,2026,03,25,2026-03-25,tuning,000801.jpeg
000810,2026,03,31,2026-03-31,holdout2,000810.jpg
000819,2026,05,18,2026-05-18,holdout2,000819.jpg
000826,2026,06,22,2026-06-22,holdout2,000826.jpg
000834,2026,02,02,2026-02-02,holdout2,000834.jpg
000839,2026,01,03,2026-01-03,holdout1,000839.jpg
000840,2026,01,01,2026-01-01,holdout1,000840.jpg
000848,2026,05,21,2026-05-21,holdout2,000848.jpg
000853,2026,09,24,2026-09-24,tuning,000853.jpg
000876,2021,07,01,2021-07-01,holdout2,000876.jpg
000886,2021,07,09,2021-07-09,holdout2,000886.jpg
000889,2021,05,27,2021-05-27,holdout1,000889.jpg
000895,2021,06,02,2021-06-02,holdout2,000895.jpg
000896,2023,02,15,2023-02-15,tuning,000896.jpg
000927,2021,08,23,2021-08-23,holdout2,000927.jpg
000929,2022,03,13,2022-03-13,holdout2,000929.jpg
000930,2021,07,29,2021-07-29,holdout1,000930.jpg
000937,2022,06,11,2022-06-11,tuning,000937.jpg
000943,2021,05,29,2021-05-29,holdout2,000943.jpg
000946,2021,09,30,2021-09-30,holdout2,000946.jpg
000950,2022,09,16,2022-09-16,tuning,000950.jpg
000960,2022,07,19,2022-07-19,holdout2,000960.jpg
000968,2022,10,17,2022-10-17,holdout2,000968.jpg
000973,2022,02,12,2022-02-12,holdout2,000973.jpg
000979,2021,06,14,2021-06-14,holdout2,000979.jpg
000982,2022,02,15,2022-02-15,tuning,000982.jpg
000987,2021,12,28,2021-12-28,holdout2,000987.jpg
000999,2021,11,11,2021-11-11,tuning,000999.jpg
001006,2022,06,29,2022-06-29,tuning,001006.jpg
001029,2021,07,07,2021-07-07,holdout2,001029.jpg
001032,2019,07,16,2019-07-16,holdout1,001032.jpg
001041,2022,04,15,2022-04-15,tuning,001041.jpg
001058,2021,10,14,2021-10-14,holdout2,001058.jpg
001086,2023,10,09,2023-10-09,tuning,001086.jpg
001087,2022,06,14,2022-06-14,tuning,001087.jpg
001094,2022,01,12,2022-01-12,holdout2,001094.jpg
001121,2023,01,10,2023-01-10,holdout2,001121.jpg
001126,2021,12,28,2021-12-28,tuning,001126.jpg
001147,2021,12,13,2021-12-13,holdout1,001147.jpg
001157,2021,02,07,2021-02-07,tuning,001157.jpg
001171,2022,01,18,2022-01-18,holdout2,001171.jpg
001179,2023,09,01,2023-09-01,holdout2,001179.jpg
001184,2021,10,08,2021-10-08,holdout2,001184.jpg
001200,2021,10,20,2021-10-20,tuning,001200.jpg
001201,2022,07,16,2022-07-16,tuning,001201.jpg
001208,2020,08,18,2020-08-18,holdout2,001208.jpg
001217,2022,05,30,2022-05-30,tuning,001217.jpg
001218,2022,05,30,2022-05-30,holdout2,001218.jpg
001219,2021,01,14,2021-01-14,tuning,001219.jpg
001239,2020,12,19,2020-12-19,holdout1,001239.jpg
001241,2022,06,13,2022-06-13,holdout2,001241.jpg
001242,2022,06,13,2022-06-13,holdout2,001242.jpg
001263,2022,12,03,2022-12-03,tuning,001263.jpg
001272,2023,07,08,2023-07-08,holdout2,001272.jpg
001274,2022,06,17,2022-06-17,tuning,001274.jpg
001282,2025,04,01,2025-04-01,tuning,001282.jpg
001299,2021,07,28,2021-07-28,tuning,001299.jpg
001302,2021,11,29,2021-11-29,holdout2,001302.jpg
001306,2021,07,19,2021-07-19,holdout1,001306.jpg
001309,2021,04,30,2021-04-30,holdout2,001309.jpg
001322,2022,02,15,2022-02-15,holdout2,001322.jpg
001324,2023,07,09,2023-07-09,holdout2,001324.jpg
001333,2021,12,NONE,2021-12-NONE,holdout2,001333.jpg
001342,2021,09,10,2021-09-10,holdout2,001342.jpg
001357,2022,08,NONE,2022-08-NONE,tuning,001357.jpg
001376,2021,12,02,2021-12-02,tuning,001376.jpg
001410,2021,05,25,2021-05-25,holdout2,001410.jpg
001413,2021,07,23,2021-07-23,holdout2,001413.jpg
001414,2021,07,23,2021-07-23,holdout2,001414.jpg
001421,2021,07,01,2021-07-01,holdout2,001421.jpg
001456,2022,06,28,2022-06-28,tuning,001456.jpg
001470,2021,12,29,2021-12-29,holdout2,001470.jpg
001479,2022,08,27,2022-08-27,holdout1,001479.jpg
001483,2021,02,06,2021-02-06,holdout2,001483.jpg
001495,2021,11,22,2021-11-22,tuning,001495.jpg
001498,2021,06,30,2021-06-30,tuning,001498.jpg
001515,2022,08,16,2022-08-16,holdout2,001515.jpg
001528,2021,06,25,2021-06-25,holdout2,001528.jpg
001532,2022,06,21,2022-06-21,holdout1,001532.jpg
001533,2022,06,21,2022-06-21,tuning,001533.jpg
001545,2021,08,02,2021-08-02,holdout2,001545.jpg
001548,2022,09,28,2022-09-28,tuning,001548.jpg
001558,2021,12,24,2021-12-24,holdout2,001558.jpg
001572,2021,06,11,2021-06-11,holdout2,001572.jpg
001575,2022,03,27,2022-03-27,holdout2,001575.jpg
001592,2022,01,05,2022-01-05,holdout2,001592.jpg
001593,2022,01,05,2022-01-05,holdout2,001593.jpg
001600,2021,02,08,2021-02-08,holdout2,001600.jpg
001601,2021,02,11,2021-02-11,tuning,001601.jpg
001609,2021,06,29,2021-06-29,holdout2,001609.jpg
001620,2022,07,19,2022-07-19,holdout2,001620.jpg
001673,2021,05,19,2021-05-19,holdout2,001673.jpg
001685,2021,11,29,2021-11-29,tuning,001685.jpg
001709,2021,04,12,2021-04-12,holdout2,001709.jpg
001713,2021,09,08,2021-09-08,holdout1,001713.jpg
001714,2021,09,08,2021-09-08,holdout2,001714.jpg
001722,2021,07,06,2021-07-06,tuning,001722.jpg
001723,2021,05,13,2021-05-13,holdout2,001723.jpg
001744,2022,01,28,2022-01-28,holdout2,001744.jpg
001752,2022,01,10,2022-01-10,holdout2,001752.jpg
001786,2021,09,19,2021-09-19,holdout1,001786.jpg
001813,2021,03,26,2021-03-26,tuning,001813.jpg
001817,2021,04,14,2021-04-14,tuning,001817.jpg
001819,2022,01,18,2022-01-18,holdout2,001819.jpg
001822,2021,06,09,2021-06-09,tuning,001822.jpg
001835,2022,07,12,2022-07-12,holdout2,001835.jpg
001836,2021,10,02,2021-10-02,holdout2,001836.jpg
001848,2021,11,18,2021-11-18,holdout2,001848.jpg
001853,2022,08,13,2022-08-13,holdout2,001853.jpg
001864,2023,08,04,2023-08-04,holdout2,001864.jpg
001865,2021,09,17,2021-09-17,holdout2,001865.jpg
001884,2021,09,09,2021-09-09,holdout1,001884.jpg
001903,2021,08,27,2021-08-27,tuning,001903.jpg
001909,2021,12,29,2021-12-29,holdout1,001909.jpg
001918,2021,05,25,2021-05-25,holdout2,001918.jpg
001924,2022,01,21,2022-01-21,holdout2,001924.jpg
001951,2022,09,16,2022-09-16,holdout1,001951.jpg
001974,2021,09,NONE,2021-09-NONE,tuning,001974.jpg
002011,2020,06,30,2020-06-30,holdout2,002011.jpg
002021,2022,04,09,2022-04-09,holdout2,002021.jpg
002027,2020,11,26,2020-11-26,holdout2,002027.jpg
002046,2021,12,10,2021-12-10,holdout2,002046.jpg
002055,2021,12,NONE,2021-12-NONE,holdout2,002055.jpg
002056,2021,12,17,2021-12-17,holdout2,002056.jpg
002067,2020,04,30,2020-04-30,holdout2,002067.jpg
002075,2020,05,28,2020-05-28,tuning,002075.jpg
002093,2021,11,17,2021-11-17,tuning,002093.jpg
002098,2021,05,25,2021-05-25,holdout2,002098.jpg
002101,2021,09,17,2021-09-17,tuning,002101.jpg
002102,2021,12,25,2021-12-25,holdout2,002102.jpg
002109,2022,02,24,2022-02-24,tuning,002109.jpg
002133,2021,04,10,2021-04-10,holdout2,002133.jpg
002135,2022,11,02,2022-11-02,holdout1,002135.jpg
002141,2021,04,11,2021-04-11,holdout2,002141.jpg
002157,2021,12,25,2021-12-25,holdout1,002157.jpg
002165,2021,01,29,2021-01-29,tuning,002165.jpg
002172,2020,06,24,2020-06-24,holdout2,002172.jpg
002191,2020,10,20,2020-10-20,holdout1,002191.jpg
002195,2021,10,28,2021-10-28,holdout2,002195.jpg
002196,2021,10,28,2021-10-28,holdout2,002196.jpg
002201,2020,10,08,2020-10-08,tuning,002201.jpg
002222,2021,02,07,2021-02-07,holdout2,002222.jpg
002236,2021,06,08,2021-06-08,holdout2,002236.jpg
002237,2021,06,08,2021-06-08,holdout2,002237.jpg
002247,2021,09,07,2021-09-07,holdout1,002247.jpg
002253,2022,01,04,2022-01-04,holdout2,002253.jpg
002279,2021,01,03,2021-01-03,tuning,002279.jpg
002291,2021,09,10,2021-09-10,holdout1,002291.jpg
002311,NONE,NONE,NONE,NONE,tuning,002311.jpg
002331,2021,12,16,2021-12-16,holdout1,002331.jpg
002335,2021,11,19,2021-11-19,holdout2,002335.jpg
002340,2021,12,28,2021-12-28,holdout2,002340.jpg
002349,2019,09,11,2019-09-11,holdout2,002349.jpg
002367,2020,10,01,2020-10-01,tuning,002367.jpg
002381,2021,08,17,2021-08-17,holdout2,002381.jpg
002401,2022,11,04,2022-11-04,tuning,002401.jpg
002427,2021,01,18,2021-01-18,holdout2,002427.jpg
002434,2023,01,07,2023-01-07,holdout2,002434.jpg
002438,2020,09,13,2020-09-13,holdout2,002438.jpg
002447,2021,02,04,2021-02-04,tuning,002447.jpg
002449,2021,06,09,2021-06-09,holdout1,002449.jpg
002471,2021,03,18,2021-03-18,tuning,002471.jpg
002477,2023,03,15,2023-03-15,holdout2,002477.jpg
002478,2023,03,15,2023-03-15,holdout2,002478.jpg
002484,2021,05,05,2021-05-05,holdout2,002484.jpg
002490,2021,04,18,2021-04-18,holdout2,002490.jpg
002491,2022,09,08,2022-09-08,holdout2,002491.jpg
002499,2021,05,07,2021-05-07,holdout2,002499.jpg
002500,2021,08,21,2021-08-21,holdout2,002500.jpg
002507,2021,08,08,2021-08-08,holdout1,002507.jpg
002516,2022,07,20,2022-07-20,tuning,002516.jpg
002552,2022,01,21,2022-01-21,tuning,002552.jpg
002558,2022,04,01,2022-04-01,holdout2,002558.jpg
002575,2021,12,16,2021-12-16,holdout2,002575.jpg
002585,2023,11,04,2023-11-04,holdout2,002585.jpg
002589,2023,10,15,2023-10-15,holdout2,002589.jpg
002599,2021,12,NONE,2021-12-NONE,holdout2,002599.jpg
002602,2022,07,07,2022-07-07,tuning,002602.jpg
002622,2023,12,21,2023-12-21,tuning,002622.jpg
002630,2023,05,NONE,2023-05-NONE,tuning,002630.jpg
002637,2022,11,01,2022-11-01,holdout2,002637.jpg
002643,2022,11,NONE,2022-11-NONE,tuning,002643.jpg
002654,2025,11,30,2025-11-30,tuning,002654.jpg
002664,2021,08,18,2021-08-18,tuning,002664.jpg
002672,2021,04,05,2021-04-05,holdout2,002672.jpg
002673,2021,04,25,2021-04-25,holdout2,002673.jpg
002693,2021,04,19,2021-04-19,holdout2,002693.jpg
002718,2022,02,23,2022-02-23,holdout1,002718.jpg
002722,2022,12,30,2022-12-30,holdout2,002722.jpg
002725,2021,10,28,2021-10-28,holdout1,002725.jpg
002736,2021,04,28,2021-04-28,holdout2,002736.jpg
002739,2021,09,26,2021-09-26,tuning,002739.jpg
002760,2021,05,12,2021-05-12,holdout1,002760.jpg
002771,2021,10,11,2021-10-11,holdout2,002771.jpg
002774,2021,10,08,2021-10-08,tuning,002774.jpg
002777,2021,09,15,2021-09-15,tuning,002777.jpg
002780,2021,04,06,2021-04-06,holdout2,002780.jpg
002785,2021,04,18,2021-04-18,holdout2,002785.jpg
002791,2021,12,06,2021-12-06,holdout1,002791.jpg
002792,2023,04,28,2023-04-28,holdout2,002792.jpg
002800,2021,12,27,2021-12-27,tuning,002800.jpg
002801,2021,09,29,2021-09-29,tuning,002801.jpg
002816,2021,06,28,2021-06-28,holdout2,002816.jpg
002820,2021,11,19,2021-11-19,tuning,002820.jpg
002821,2021,11,19,2021-11-19,holdout2,002821.jpg
002826,2021,07,03,2021-07-03,tuning,002826.jpg
002843,2023,06,NONE,2023-06-NONE,holdout2,002843.jpg
