file,s640,s640_n,anchors,cands,s512,s512_n,s448,s448_n,s640_r0,s640_r0_n,cluster,w,h,mp,votes,cat,disagree
000116.jpg,2026-03-27,1,[],['2026-03-27'],2026-03-27,1,2026-03-27,1,2026-03-27,1,hires,3024,4032,12.192768,"['2026-03-27', '2026-03-27', '2026-03-27', '2026-03-27']",D_전원일치,0.0
000807.jpeg,,1,[],['2039-11-29'],,1,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
000433.jpg,,0,[],[],,0,,0,,0,hires,3060,4080,12.4848,"[None, None, None, None]",C_전원실패,0.0
000468.jpg,,0,[],[],,0,,0,,0,hires,3060,4080,12.4848,"[None, None, None, None]",C_전원실패,0.0
000241.jpg,2027-08-10,1,"['까지', '별도표기', '소비기한', '제조일자']",['2027-08-10'],2027-08-10,1,2027-08-10,1,,0,hires,3024,4032,12.192768,"['2027-08-10', '2027-08-10', '2027-08-10', None]",B_검출경계,0.25
000363.jpg,2026-04-21,1,[],['2026-04-21'],2026-04-21,1,2026-04-21,1,2026-04-21,1,hires,3024,4032,12.192768,"['2026-04-21', '2026-04-21', '2026-04-21', '2026-04-21']",D_전원일치,0.0
000737.jpg,2026-03-04,1,"['까지', '소비기한', '제조일자']",['2026-03-04'],2026-03-04,1,,0,2026-03-04,1,hires,3024,4032,12.192768,"['2026-03-04', '2026-03-04', None, '2026-03-04']",B_검출경계,0.25
000045.jpg,2027-04-21,1,[],['2027-04-21'],2027-04-21,1,2027-04-21,1,2027-04-21,1,hires,3024,4032,12.192768,"['2027-04-21', '2027-04-21', '2027-04-21', '2027-04-21']",D_전원일치,0.0
000054.jpg,2025-10-08,1,['까지'],['2025-10-08'],2025-10-08,1,2025-10-08,1,2025-10-08,1,hires,3024,4032,12.192768,"['2025-10-08', '2025-10-08', '2025-10-08', '2025-10-08']",D_전원일치,0.0
000283.jpg,2021-09-17,1,"['까지', '별도표기']",['2021-09-17'],,1,2027-09-17,1,2021-09-17,1,hires,3024,4032,12.192768,"['2021-09-17', None, '2027-09-17', '2021-09-17']",A_날짜불일치,0.5
000833.jpeg,,0,[],[],,0,2026-04-27,1,,0,hires,3024,4032,12.192768,"[None, None, '2026-04-27', None]",B_검출경계,0.25
000748.jpg,2027-01-22,1,['까지'],['2027-01-22'],2027-01-22,1,,0,2027-01-22,1,hires,3024,4032,12.192768,"['2027-01-22', '2027-01-22', None, '2027-01-22']",B_검출경계,0.25
000312.jpg,2026-08-26,1,['까지'],['2026-08-26'],2026-08-26,1,2026-08-26,1,,0,hires,3024,4032,12.192768,"['2026-08-26', '2026-08-26', '2026-08-26', None]",B_검출경계,0.25
000082.jpg,2026-08-24,2,"['까지', '부터']","['2025-08-25', '2026-08-24']",2026-08-24,2,2026-08-24,2,2026-08-24,2,hires,3024,4032,12.192768,"['2026-08-24', '2026-08-24', '2026-08-24', '2026-08-24']",D_전원일치,0.0
000838.jpeg,,0,[],[],,0,,0,,0,hires,3024,4032,12.192768,"[None, None, None, None]",C_전원실패,0.0
