file,truth,pred,n_cands,anchors,kind,cluster,pair,mfg
000083.jpg,2026-07-01,NONE-NONE-NONE,0,,미검출,hires,False,False
000429.jpg,2026-01-04,NONE-NONE-NONE,0,까지|별도표기|소비기한,미검출,hires,False,False
000443.jpg,2026-04-06,NONE-NONE-NONE,0,소비기한,미검출,hires,False,False
000483.jpg,2027-04-15,NONE-NONE-NONE,0,,미검출,hires,False,False
000550.jpg,2026-05-29,2025-05-29,1,까지|소비기한,연도만 오독,mid,False,False
002401.jpg,2022-11-04,NONE-NONE-NONE,0,,미검출,mid,False,False
3352.jpeg,2025-12-09,NONE-NONE-NONE,0,,미검출,hires,False,False
002367.jpg,2020-10-01,NONE-NONE-NONE,0,,미검출,sq640,False,False
002165.jpg,2021-01-29,2020-10-30,1,까지|부터,단일 후보가 오답,sq640,True,False
002826.jpg,2021-07-03,NONE-NONE-NONE,0,,미검출,mid,False,False
002630.jpg,2023-05-NONE,2023-05-09,1,,월/일 오독,sq640,False,False
000853.jpg,2026-09-24,NONE-NONE-NONE,0,,미검출,?,False,False
002774.jpg,2021-10-08,NONE-NONE-NONE,0,까지|별도표기,미검출,mid,False,False
003028.jpg,2021-09-28,2021-02-28,1,BEST_BEFORE,월/일 오독,sq640,False,False
000605.jpg,2028-07-01,NONE-NONE-NONE,0,까지,미검출,mid,False,False
000452.jpg,2026-03-25,NONE-NONE-NONE,0,,미검출,hires,False,False
001974.jpg,2021-09-NONE,NONE-NONE-NONE,0,,미검출,mid,False,False
001357.jpg,2022-08-NONE,2023-01-08,1,,단일 후보가 오답,sq640,False,False
002447.jpg,2021-02-04,NONE-NONE-NONE,1,제조일자,미검출,mid,False,True
001822.jpg,2021-06-09,NONE-NONE-NONE,0,제조일자,미검출,mid,False,True
001685.jpg,2021-11-29,2021-11-27,3,까지|부터|유통기한,후보 여러개 중 오선택,mid,True,False
000950.jpg,2022-09-16,NONE-NONE-NONE,0,,미검출,mid,False,False
000094.jpg,2027-06-30,2022-05-30,1,,단일 후보가 오답,hires,False,False
001282.jpg,2025-04-01,NONE-NONE-NONE,0,,미검출,mid,False,False
002643.jpg,2022-11-NONE,NONE-NONE-NONE,1,,미검출,mid,False,False
002552.jpg,2022-01-21,2021-01-22,1,BEST_BEFORE,단일 후보가 오답,mid,False,False
001086.jpg,2023-10-09,2019-10-15,1,까지,단일 후보가 오답,sq640,False,False
003082.jpg,2021-12-02,2021-12-03,2,까지|유통기한|제조일자,후보 여러개 중 오선택,sq640,False,True
001817.jpg,2021-04-14,2021-01-15,1,부터,월/일 오독,sq640,False,False
000896.jpg,2023-02-15,2020-02-15,1,EXP,연도만 오독,sq640,False,False
000999.jpg,2021-11-11,2021-01-11,3,,후보 여러개 중 오선택,sq640,False,False
000982.jpg,2022-02-15,2025-09-16,1,,단일 후보가 오답,sq640,False,False
002944.jpg,NONE,2020-06-23,1,,단일 후보가 오답,sq640,False,False
002075.jpg,2020-05-28,2000-05-28,1,,연도만 오독,sq640,False,False
001157.jpg,2021-02-07,2024-09-30,1,까지,단일 후보가 오답,sq640,False,False
002777.jpg,2021-09-15,2021-03-15,1,,월/일 오독,sq640,False,False
001533.jpg,2022-06-21,NONE-10-01,1,,단일 후보가 오답,sq640,False,False
000283.jpg,2027-09-17,2021-09-17,1,까지|별도표기,연도만 오독,hires,False,False
000780.jpg,2026-04-27,NONE-NONE-NONE,0,,미검출,?,False,False
000436.jpg,2026-02-12,2026-12-12,1,,월/일 오독,hires,False,False
000775.jpg,2025-12-17,NONE-NONE-NONE,0,,미검출,?,False,False
000270.jpg,2026-09-03,2006-09-03,1,까지|소비기한,연도만 오독,hires,False,False
000096.jpg,2026-05-26,2025-10-26,1,,단일 후보가 오답,hires,False,False
000014.jpg,2026-01-31,2025-01-31,1,,연도만 오독,hires,False,False
000196.jpg,2027-02-27,2027-12-27,1,까지,월/일 오독,hires,False,False
000008.jpg,2027-06-29,2021-06-29,1,,연도만 오독,hires,False,False
000242.jpg,2026-05-21,2028-05-21,2,까지|부터|소비기한,후보 여러개 중 오선택,hires,True,False
000618.jpg,2026-08-26,2026-06-25,1,소비기한,월/일 오독,mid,False,False
003292.jpg,2022-12-02,2019-07-15,1,,단일 후보가 오답,mid,False,False
002602.jpg,2022-07-07,2020-04-27,1,제조일자,단일 후보가 오답,mid,False,True
000937.jpg,2022-06-11,2022-11-09,1,,월/일 오독,mid,False,False
002201.jpg,2020-10-08,2031-10-06,1,,단일 후보가 오답,mid,False,False
001217.jpg,2022-05-30,2022-05-14,1,까지|유통기한,월/일 오독,mid,False,False
001299.jpg,2021-07-28,2016-11-15,1,유통기한,단일 후보가 오답,mid,False,False
001456.jpg,2022-06-28,2023-09-23,1,까지|별도표기|유통기한,단일 후보가 오답,mid,False,False
002471.jpg,2021-03-18,2021-03-12,1,,월/일 오독,mid,False,False
001903.jpg,2021-08-27,2027-08-21,1,,단일 후보가 오답,mid,False,False
