file,image_id,orig_w,orig_h,proc_w,proc_h,mp,t_0,t_90,t_best,score_0,score_90,best,n_lines,n_lines_0,n_lines_90,mean_conf,text,anchors,has_pos,has_neg,has_soft,has_yut,has_bydo,n_dates_all,n_dates,kinds,dates,n_in_long,dis_품목보고번호(14자리+),dis_바코드(13자리),dis_9~12자리 숫자,dis_전화번호(1588형),dis_신고번호 1399,dis_영양성분 %,dis_용량 g/ml/kcal,dis_LOT/로트,dis_시각(hh:mm),dis_시각(NN시)
001182.jpg,001182,640,640,640,640,0.4096,0.787,0.94,0.787,7.7,6.7,0,16,10,6,0.8815625,"EST
B
AFR
14
202문
JOO3Juice
망고
Mango
FRUIT
BOWLs
/O0<Juic
FRUIT
BEST BY APR I4 2022
BOWLs
Mango
다음",[],False,False,False,False,False,0,0,[],[],0,0,0,0,0,0,0,0,0,0,0
000073.jpg,000073,3024,4032,960,1280,12.192768,4.78,3.039,4.78,188.7,94.6,0,88,58,30,0.8138409090909092,"TZIE시내면:
고를이고룸
19910445077842]
충북음성군대소면대금로
서동방푸드마스터
두
_
15번길
*브정부량시필
본지품은생시원
안전관리인증
cm
결기준이어기광
소비자중심
HACCP
/플라스틱
있습니다
태방
림라오운
식풍의약품인저처
OTHER
고지원실수신자부담
2080-872-888
/H
/셜링크惠트
신류호두물기피
자혼합개
20260312/ A
여야저
000
나황맥난황계란국산}
-
류
설탕
정제소금
101
조제겨자클래
듬둥
국의미국산식초
2
겨자씨
소금
정제수
설탕
화트식초
연려자거자분켜
지방
259
-
0
트랜스시평
00
방388
종
텍스트라
표하방
YY표/
사양벌골국산
소비자중심
15번길70
-
서동방푸드마스타
[국산/식초
정제소금]
20260312/ A
2080-872-8888
샘표식품주서
계란:국산}
99
HACCP
논이/유
안전관리인증
조제겨자클래
열
겨자분
공
/842/
캡Pp/리차아R/칩링크時트
구대소면
OTHER
궁
고
2
80
-
1005
없
응용",[],False,False,False,False,False,2,1,['Y4_sep'],['2026-03-12'],0,1,0,0,0,0,0,0,0,0,0
001473.jpg,001473,640,640,640,640,0.4096,0.318,0.316,0.318,1.3,0.0,0,1,1,0,0.66,0내TRE?,[],False,False,False,False,False,0,0,[],[],0,0,0,0,0,0,0,0,0,0,0
001491.jpg,001491,656,873,656,873,0.572688,13.868,2.306,13.868,158.0,18.2,0,128,122,6,0.782734375,"722시시회
거
점재수
보관
대
-a1-T
하
9-9-Sh-$!-S-2-S-9
48
MASTNO SPA
교입전
수입업소
나폭민
제조시션과
같든
바s0
/ DUUNwheat
더
국번
법미
139
진고는
Pata금
HF
지원회
고시
소비자분쟁해견
3trigo
또는
받으실
미류
교단
PP
VeLESIR:
Nede
GORT
CCASANY?
후내량500
aecitare
목00
345kCa
r ds
325
/C
1
4트
HaTGCE-
LE
1미
타수화불69문
독란스지방
포화지방이3음고%
려HEF
단번
고5%
무
기준이므로
T0CHGE
2000c
N9
남금
01
주
있습니다
Fpp Far고S
15015 Faras
Harinc
5P
faFO CSS
BRONZO
FrdH
garantir
ndd
11
Via F De CAco -
PrGuLEd
무
Lur고r리O
CONdeL
-DRAWING
개ZE
S Hrtr0모고
rne
내
66015 Crtor에Ely
Mnze draw plates to guarantee
best capture the sauce
PESO
LiQuIDo
ecco
COL
가복단
500 ge116
Best befure/
A consome de preference
Arant l:
Hindest대s
s halby Eis
C0rIt
Mrfurorens ans dt
LOSIRIT
G문
Ten Ti하te
Boudbaar tot/
Dedst fr/
E5de
CUSSOr
Kochteit
TTP9
Bist fre
/Kogetie/
Kctit 12-
1구
Exp:
08
07
23
15:19
L4/3
F
tt:001
202
Eccocom
Pgu리/e
15:19 L4/3F
Exp:080723
0ge1116
0LIQUIDO","['BEST_BEFORE', '제조일자']",True,True,False,False,False,1,1,['Y2_sep'],['2008-07-23'],0,0,0,0,0,0,1,2,0,2,0
000914.jpg,000914,711,949,711,949,0.674739,2.311,1.396,2.311,43.0,16.7,0,25,18,7,0.86304,"26000
MOTHER
일부터
월까지
유통기한:
디보디L
디고므든
아기에게
SINCE1964
힘이되는
안심
아기과학
Z
~
MOTHIER
얼마로
태어나다
호주
발표
MOTHER
MOTHER
유통가한:
2
26000
아긴에게회의되는","['까지', '유통기한']",True,False,False,True,False,0,0,[],[],0,0,0,0,0,0,0,0,0,0,0
001567.jpg,001567,640,640,640,640,0.4096,3.314,1.931,3.314,16.9,11.0,0,42,25,17,0.8150476190476192,"드념
SRNG
SRG
|
-
카리/구
15
:
54
1
시러1
Cracker
EXTRA
0
CRACKER
SHARP
6개럼
하비문E
USA
YEL
-
Y
굴무농
등
년
SR
EXTRA
SHARP
YEL
24
CRACKER
Cracker
SR!NG
P
궁문금유동공용0년9
비이비문E
1
-
에
USA
-
K",[],False,False,False,False,False,0,0,[],[],0,0,0,0,0,0,0,0,0,1,1
001971.jpg,001971,640,640,640,640,0.4096,1.108,0.697,1.108,5.8,2.5,0,19,14,5,0.8603157894736843,"Mindestens
haltbar
bIs:
Bes
A Consommer
before:
Ge
preference
/e:
건노
교!
노
Chocobelle
18 00
Chocobelle
01
18 oo
Mindestens haltbar bis
Best before:",['BEST_BEFORE'],True,False,False,False,False,0,0,[],[],0,0,0,0,0,0,0,0,0,0,0
000881.jpg,000881,1096,822,1096,822,0.900912,2.266,2.687,2.266,45.0,33.0,0,38,19,19,0.740894736842105,"비
린1_
디까지
유통기한
대모
15건
속1
3""801158737140
개봉후반드시
균래원구0~
균대우
하시고
빨리
드시기
마전라리인
HACCP
DongUL
러
주
0~-10C
유통기한
N
N
때부아때
대
그
이
만1
요
초
유도
5:1
루
하시고
속1
드시기
인전전리민중
30115","['까지', '유통기한']",True,False,False,True,False,0,0,[],[],0,0,0,1,0,0,0,0,0,0,0
000279.jpg,000279,3024,4032,960,1280,12.192768,2.251,2.835,2.251,48.3,47.0,0,60,31,29,0.93985,"250903
260602
110
A0H
꽉찬
소와
히을
밸런스
hearty
Perfect
balance
between
filling
tender
Wrappe!
and
각종
야
돼지고기와
Generous
chunks
assorted
vegetables
1만번
이상
치댄
3
Chewy
Wrappe
연출이미지
10 000
연출이미지
6
~
1만번
assorted
Generous
노
filling
Perfect
꽉찬
260602
250903
~
Mo
and tender
소와
돼지고기와
O00
balance
-
s chunks
치댄
피의
까지
제조
밸런스
각종
Y44
A0H","['까지', '제조일자']",False,True,False,False,False,4,2,"['Y2_sep', 'Y2_sep']","['2025-09-03', '2026-06-02']",0,0,0,0,0,0,0,0,0,0,0
002899.jpg,002899,640,640,640,640,0.4096,0.93,0.557,0.93,8.3,3.0,0,5,4,1,0.8384,"연겨자
노큰D된
부
맛있는
연겨자",[],False,False,False,False,False,0,0,[],[],0,0,0,0,0,0,0,0,0,0,0
