file,truth,pred,n_cands,anchors
000040.jpg,2025-10-11,NONE-NONE-NONE,2,
000083.jpg,2026-07-01,NONE-NONE-NONE,0,까지
000317.jpg,2025-11-15,NONE-NONE-NONE,0,
000429.jpg,2026-01-04,NONE-NONE-NONE,0,까지|별도표기|소비기한
000443.jpg,2026-04-06,2021-06-09,1,소비기한
000483.jpg,2027-04-15,NONE-NONE-NONE,0,
000550.jpg,2026-05-29,2025-05-29,1,까지|소비기한
002401.jpg,2022-11-04,NONE-NONE-NONE,0,
002801.jpg,2021-09-29,2021-09-28,1,
003001.jpg,2021-12-05,2021-12-02,1,
3352.jpeg,2025-12-09,NONE-NONE-NONE,0,
002367.jpg,2020-10-01,NONE-NONE-NONE,0,
002654.jpg,2025-11-30,2031-01-01,1,
002165.jpg,2021-01-29,2020-10-30,1,까지|부터
002826.jpg,2021-07-03,NONE-NONE-NONE,0,
002311.jpg,NONE,2020-06-17,1,제조일자
002630.jpg,2023-05-NONE,2023-05-09,1,
000853.jpg,2026-09-24,NONE-NONE-NONE,0,
002774.jpg,2021-10-08,2021-10-03,1,까지|별도표기
000605.jpg,2028-07-01,NONE-NONE-NONE,0,까지
000452.jpg,2026-03-25,NONE-NONE-NONE,0,
002101.jpg,2021-09-17,NONE-NONE-NONE,0,
002109.jpg,2022-02-24,2020-04-01,2,까지|별도표기|유통기한|제조일자
000369.jpg,2027-06-25,NONE-NONE-NONE,0,까지
001974.jpg,2021-09-NONE,NONE-NONE-NONE,0,
001357.jpg,2022-08-NONE,2023-07-08,1,
001685.jpg,2021-11-29,2030-08-25,3,까지|부터|유통기한
000950.jpg,2022-09-16,NONE-NONE-NONE,0,
000094.jpg,2027-06-30,NONE-NONE-NONE,0,
003045.jpg,2022-05-02,NONE-NONE-NONE,0,까지
001282.jpg,2025-04-01,NONE-NONE-NONE,0,
002643.jpg,2022-11-NONE,NONE-NONE-NONE,0,
002552.jpg,2022-01-21,2021-01-22,1,BEST_BEFORE
003082.jpg,2021-12-02,2021-12-03,2,까지|유통기한|제조일자
001817.jpg,2021-04-14,2021-01-15,1,부터
000896.jpg,2023-02-15,2020-02-13,1,EXP
000999.jpg,2021-11-11,2021-01-11,3,
000982.jpg,2022-02-15,NONE-NONE-NONE,1,
002944.jpg,NONE,2020-08-23,1,
002075.jpg,2020-05-28,2000-05-28,1,
001157.jpg,2021-02-07,NONE-NONE-NONE,0,까지|유통기한
002800.jpg,2021-12-27,2020-12-28,1,부터
002777.jpg,2021-09-15,2021-08-15,1,
000283.jpg,2027-09-17,2021-09-17,1,까지|별도표기
000780.jpg,2026-04-27,NONE-NONE-NONE,0,
000436.jpg,2026-02-12,2026-12-12,1,
000775.jpg,2025-12-17,NONE-NONE-NONE,0,
000096.jpg,2026-05-26,2025-10-26,1,
000014.jpg,2026-01-31,NONE-NONE-NONE,0,까지
000008.jpg,2027-06-29,NONE-NONE-NONE,0,
000394.jpg,2026-04-14,2020-04-14,1,까지
000242.jpg,2026-05-21,2028-05-21,2,까지|부터|소비기한
000618.jpg,2026-08-26,NONE-NONE-NONE,0,소비기한
003292.jpg,2022-12-02,2022-09-05,1,
000937.jpg,2022-06-11,2022-11-09,1,
002201.jpg,2020-10-08,2020-10-05,1,
001217.jpg,2022-05-30,2022-05-14,1,까지|유통기한
001299.jpg,2021-07-28,2016-11-15,1,
001456.jpg,2022-06-28,2023-09-23,1,까지|별도표기|유통기한
002471.jpg,2021-03-18,2021-03-12,1,
001376.jpg,2021-12-02,2021-12-12,1,
001903.jpg,2021-08-27,2027-08-20,1,
001006.jpg,2022-06-29,2020-12-30,1,
