file,truth,pred,n_cands,anchors
000001.jpg,2027-06-26,NONE-NONE-NONE,0,까지|소비기한
000040.jpg,2025-10-11,2017-10-25,1,
000059.jpg,2027-06-22,NONE-NONE-NONE,0,까지|제조일자
000072.jpg,2026-04-25,2024-09-24,1,까지|소비기한
000083.jpg,2026-07-01,NONE-NONE-NONE,0,
000319.jpg,2026-02-14,2019-11-19,1,까지|소비기한
000429.jpg,2026-01-04,NONE-NONE-NONE,0,까지|별도표기|소비기한
000443.jpg,2026-04-06,NONE-NONE-NONE,0,소비기한
000483.jpg,2027-04-15,NONE-NONE-NONE,0,
000550.jpg,2026-05-29,2025-05-29,1,까지|소비기한
002401.jpg,2022-11-04,NONE-NONE-NONE,0,
3352.jpeg,2025-12-09,NONE-NONE-NONE,0,
002367.jpg,2020-10-01,NONE-NONE-NONE,0,
002654.jpg,2025-11-30,2020-12-08,2,
002165.jpg,2021-01-29,2020-10-30,1,까지|부터
002826.jpg,2021-07-03,NONE-NONE-NONE,0,
002311.jpg,NONE,2020-07-01,1,제조일자
002630.jpg,2023-05-NONE,NONE-NONE-NONE,0,
000853.jpg,2026-09-24,NONE-NONE-NONE,0,
002739.jpg,2021-09-26,2020-09-27,1,MFG
002774.jpg,2021-10-08,2021-03-10,1,까지|별도표기
003028.jpg,2021-09-28,2021-02-28,1,BEST_BEFORE
000605.jpg,2028-07-01,NONE-NONE-NONE,0,까지
000452.jpg,2026-03-25,NONE-NONE-NONE,0,
001974.jpg,2021-09-NONE,2021-09-10,1,
001357.jpg,2022-08-NONE,2023-08-NONE,0,MFG
001822.jpg,2021-06-09,NONE-NONE-NONE,1,제조일자
000569.jpg,2025-11-02,NONE-NONE-NONE,0,까지
000950.jpg,2022-09-16,2022-07-02,1,
000094.jpg,2027-06-30,NONE-NONE-NONE,0,
003045.jpg,2022-05-02,2034-01-19,1,BEST_BEFORE|까지
001282.jpg,2025-04-01,NONE-NONE-NONE,1,
002643.jpg,2022-11-NONE,NONE-NONE-NONE,1,
002552.jpg,2022-01-21,2021-01-22,1,BEST_BEFORE
001086.jpg,2023-10-09,2019-10-15,2,까지
001817.jpg,2021-04-14,2021-01-15,2,부터
000896.jpg,2023-02-15,2020-02-15,1,EXP
001722.jpg,2021-07-06,2021-01-07,1,까지|부터
000999.jpg,2021-11-11,2021-11-15,6,
000982.jpg,2022-02-15,2025-09-16,2,
002944.jpg,NONE,2020-08-23,2,
001157.jpg,2021-02-07,2024-09-30,1,까지
002800.jpg,2021-12-27,2020-12-28,1,까지|부터
002777.jpg,2021-09-15,2021-08-15,2,
001126.jpg,2021-12-28,2020-02-01,1,까지|부터
001533.jpg,2022-06-21,NONE-10-01,1,
000283.jpg,2027-09-17,2021-09-17,1,까지|별도표기
000780.jpg,2026-04-27,NONE-NONE-NONE,0,
000436.jpg,2026-02-12,2026-12-12,1,
000775.jpg,2025-12-17,NONE-NONE-NONE,0,
000270.jpg,2026-09-03,2006-09-03,1,까지|소비기한
000096.jpg,2026-05-26,2026-10-26,2,
000008.jpg,2027-06-29,2021-06-29,1,
000225.jpg,2026-04-06,NONE-NONE-NONE,1,
000242.jpg,2026-05-21,2028-05-21,2,까지|부터|소비기한
000462.jpg,2027-05-27,2026-05-27,1,
000618.jpg,2026-08-26,2026-06-25,1,소비기한
001087.jpg,2022-06-14,2022-08-14,3,
002602.jpg,2022-07-07,2020-04-27,1,제조일자
000937.jpg,2022-06-11,2022-11-09,2,
002201.jpg,2020-10-08,2031-10-06,1,
001299.jpg,2021-07-28,2016-11-15,1,유통기한
001456.jpg,2022-06-28,2023-09-23,1,까지|별도표기|유통기한
002471.jpg,2021-03-18,2021-03-12,1,
001376.jpg,2021-12-02,NONE-NONE-NONE,1,
001903.jpg,2021-08-27,2027-08-21,1,
002946.jpg,2021-09-25,NONE-NONE-NONE,1,BEST_BEFORE
