file,cv2_ok,cv2_h,cv2_w,cv2_imread_ok,pil_frames,pil_format,pil_w,pil_h,border_top,border_bot,border_left,border_right,border_frac,pil_ok,image_id,id_num,w,h,exif_orientation,format,ext,has_exif
000001.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000001,1,3024,4032,1,JPEG,.jpg,False
000002.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000002,2,3024,4032,1,JPEG,.jpg,False
000003.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000003,3,3024,4032,1,JPEG,.jpg,False
000004.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000004,4,3024,4032,1,JPEG,.jpg,False
000005.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000005,5,3024,4032,1,JPEG,.jpg,False
000006.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000006,6,3024,4032,1,JPEG,.jpg,False
000007.jpg,True,5712,4284,False,2,MPO,4284,5712,0,0,0,0,0.0,True,000007,7,4284,5712,6,MPO,.jpg,True
000008.jpg,True,4723,2285,False,2,MPO,2285,4723,0,0,0,0,0.0,True,000008,8,2285,4723,1,MPO,.jpg,True
000009.jpg,True,5712,4284,False,2,MPO,4284,5712,0,0,0,0,0.0,True,000009,9,4284,5712,6,MPO,.jpg,True
000010.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000010,10,3024,4032,1,JPEG,.jpg,False
000011.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000011,11,3024,4032,1,JPEG,.jpg,False
000012.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000012,12,3024,4032,1,JPEG,.jpg,False
000013.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000013,13,3024,4032,1,JPEG,.jpg,False
000014.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000014,14,3024,4032,1,JPEG,.jpg,False
000015.jpg,True,4032,3024,False,1,JPEG,3024,4032,20,0,0,0,0.078125,True,000015,15,3024,4032,1,JPEG,.jpg,False
000016.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000016,16,3024,4032,1,JPEG,.jpg,False
000017.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000017,17,3024,4032,1,JPEG,.jpg,False
000018.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000018,18,3024,4032,1,JPEG,.jpg,False
000019.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000019,19,3024,4032,1,JPEG,.jpg,False
000020.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000020,20,3024,4032,1,JPEG,.jpg,False
000021.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000021,21,3024,4032,1,JPEG,.jpg,False
000022.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000022,22,3024,4032,1,JPEG,.jpg,False
000023.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000023,23,3024,4032,1,JPEG,.jpg,False
000024.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000024,24,3024,4032,1,JPEG,.jpg,False
000025.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000025,25,3024,4032,1,JPEG,.jpg,False
000026.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000026,26,3024,4032,1,JPEG,.jpg,False
000027.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000027,27,3024,4032,1,JPEG,.jpg,False
000028.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000028,28,3024,4032,1,JPEG,.jpg,False
000029.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000029,29,3024,4032,1,JPEG,.jpg,False
000030.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000030,30,3024,4032,1,JPEG,.jpg,False
000031.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000031,31,3024,4032,1,JPEG,.jpg,False
000032.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000032,32,3024,4032,1,JPEG,.jpg,False
000033.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000033,33,3024,4032,1,JPEG,.jpg,False
000034.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000034,34,3024,4032,1,JPEG,.jpg,False
000035.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000035,35,3024,4032,1,JPEG,.jpg,False
000036.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000036,36,3024,4032,1,JPEG,.jpg,False
000037.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000037,37,3024,4032,1,JPEG,.jpg,False
000038.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000038,38,3024,4032,1,JPEG,.jpg,False
000039.jpg,True,4032,3024,False,1,JPEG,3024,4032,0,0,0,0,0.0,True,000039,39,3024,4032,1,JPEG,.jpg,False
